Data,flow_A,flow_B,flow_C,flow_D,flow_E,woff_A,woff_B,woff_C,woff_D,woff_E,aum_A,aum_B,aum_C,aum_D,aum_E
2020-05-21,-183192.401398,-24528.564744,39576.684541,14046.641605,165318.183242,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
2020-05-25,-67554.667881,-23563.787041,-10759.610751,7073.619879,89068.469143,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
2020-05-26,-10302.657126,-2513.393217,-4255.318014,-1228.491439,17157.930891,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
2020-05-27,-1315.677716,-739.067558,3866.589417,529.550521,-7255.398886,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
2020-05-28,424.045646,-4054.808599,-213.509586,2506.469037,2134.280722,0.848220,0.672867,0.475287,0.283871,0.088946,20880.930000,27466.720000,72143.810000,35895.500000,40518.410000
2020-06-01,15640.908428,1136.448754,-109015.376860,146005.964046,-76090.269296,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-02,-53342.847440,-25888.378651,-1542952.645135,-7555.068904,1625271.471583,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-03,-99346.842319,-49394.804857,-1366188.429045,-12110.392109,1536482.408237,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-04,-132718.436610,-56897.992659,-1152012.702868,-32793.839593,1424476.800516,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-08,-132526.241307,-95738.012245,-759801.865806,-30207.490712,1048862.875750,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-09,-21031.459623,-13284.546781,-30794.529638,5237.288870,77429.521086,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-10,-8284.327913,-8932.865956,-18904.209227,5768.734942,37266.341963,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-11,25892.002624,23056.573695,32755.679824,-16754.333497,-62854.890503,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-15,78840.528368,88484.999247,74850.900022,-24085.514878,-129126.631266,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-16,49446.732975,55972.554466,52792.002395,-9746.973761,-56713.236740,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-17,-17188.119464,8448.049285,7117.923032,-2713.465993,27402.935032,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-18,-8847.707083,-6632.292676,-2984.473163,-3855.872413,2229.933838,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-22,703177.221348,629109.655537,183423.914969,2826.446036,-1504311.569030,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-23,865296.930474,555859.546492,174754.604248,-5764.546727,-1603501.159576,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-24,650133.527851,84535.882156,3185.877876,-10250.653560,-728287.956966,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-25,424640.918449,34954.089473,-10372.146069,-8967.605539,-447514.061002,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-29,100302.381151,10100.579153,15341.437701,877.610249,-124757.159137,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-06-30,-23333.609153,-2962.641715,-99537.234761,156806.335178,-36976.485810,0.838257,0.681211,0.493193,0.294300,0.117187,24786.970000,29999.790000,68105.260000,36273.020000,41812.280000
2020-07-01,288.649930,-12812.787654,10767.980194,-6037.358969,-9846.061892,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-02,13573.256013,3068.699348,10834.301621,-504.626630,-23765.406777,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-06,14893.652286,-2345.070928,14675.016084,2756.999772,-27476.575969,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-07,2397.119950,-592.367200,9035.427541,-4301.888705,-3273.170892,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-08,43318.874116,14807.100611,11958.888949,-6025.665972,-43754.449432,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-09,26219.297055,18223.442030,19046.502161,-2634.386383,-39377.286178,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-13,53154.889621,49254.591606,48833.638567,-61514.631928,-106716.756466,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-14,3110.312550,22581.156354,49231.586646,4082.466586,47185.271690,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-16,-123401.150873,-39406.030217,39853.503382,2750.581157,226591.852685,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-20,-60386.140002,-59096.106383,12794.659803,13071.402947,68667.041044,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-21,5142.114683,-6290.177649,9989.244294,-1649.901022,-22371.989313,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-22,88203.138497,17407.248674,19480.269982,8298.106991,-155766.132005,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-23,-1607.747064,-24344.709251,21851.182781,6827.880281,-25947.983525,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-27,-319194.193256,-210651.026620,-230385.865118,-37722.579520,763792.356769,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-28,-17494.902623,-12134.555179,15753.844618,-12307.391421,18825.307978,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-29,3928.959508,-4059.220120,36070.853798,-8444.811359,-31250.547899,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-07-30,-26972.294902,-8545.520369,-8545.868978,73716.027723,-42667.193613,0.821795,0.673774,0.490025,0.296272,0.113840,26450.110000,32163.750000,73404.880000,39182.330000,45809.020000
2020-08-03,-859907.971954,-472327.124515,-242711.459457,213031.114790,1342174.037505,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-04,-461012.505565,-263734.571181,-175716.741737,-8093.374935,912166.900694,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-05,-82239.031090,-321531.949170,-142984.588882,-46153.849943,139045.588699,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-06,-104222.931672,-204356.127753,-286651.784015,-171742.439139,-23259.420326,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-10,-486358.547542,-1275580.815401,-1352423.288019,-515093.545371,-443354.491545,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-11,-70966.034345,-214079.484727,-338044.934029,-197332.732816,-199236.554273,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-12,689944.575982,303897.086381,-18654.848199,-87834.518902,-1164811.683403,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-13,327064.875421,46376.210742,-116284.310449,-117960.606614,-529753.404262,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-17,122697.174070,-25592.314907,-145096.662658,-150235.979829,-264100.530896,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-18,34346.552894,-27378.691791,-25772.820646,-35788.092256,-64342.464348,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-19,59850.807732,-2914.412198,-14989.604826,-25420.335737,-77135.880001,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-20,1199.578533,-17134.936919,-44703.063706,-33775.144246,-52010.192740,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-24,-622855.626699,-368600.197629,-159831.950564,-85738.313771,1079465.372146,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-25,-195875.608495,-137316.642096,-78118.565233,-37189.319531,316458.424620,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-26,-81025.109699,-89812.651800,-211554.646887,-98845.127742,-11991.430899,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-27,-46577.335455,-43515.066231,-64389.745497,-33364.095237,30919.123241,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-08-31,-200663.986504,-171023.107504,-371505.039317,9793.163013,-45040.608304,0.846434,0.705259,0.517107,0.316432,0.122830,24376.890000,28363.370000,69237.520000,37248.200000,46715.130000
2020-09-01,-9857.722040,-14715.991875,-4122.869529,-17056.780892,976.158833,0.828009,0.707137,0.532993,0.329719,0.131326,22398.180000,26472.060000,64666.930000,34914.400000,46516.150000
2020-09-02,26171.829586,-30932.412275,-22473.400693,-17699.821222,-35002.197718,0.828009,0.707137,0.532993,0.329719,0.131326,22398.180000,26472.060000,64666.930000,34914.400000,46516.150000
2020-09-03,-1234.956806,-20764.895245,-20595.391368,-24537.525543,-15436.877990,0.828009,0.707137,0.532993,0.329719,0.131326,22398.180000,26472.060000,64666.930000,34914.400000,46516.150000
2020-09-07,-24462.151960,-40106.566674,-2171.666226,-38243.368099,61784.870755,0.828009,0.707137,0.532993,0.329719,0.131326,22398.180000,26472.060000,64666.930000,34914.400000,46516.150000
2020-09-08,-1106.415799,603.612065,11713.502975,-18346.295523,-4966.817074,0.828009,0.707137,0.532993,0.329719,0.131326,22398.180000,26472.060000,64666.930000,34914.400000,46516.150000
2020-09-09,-44634.988773,-40631.994328,-83004.170354,-52907.975680,-9378.456720,0.828009,0.707137,0.532993,0.329719,0.131326,22398.180000,26472.060000,64666.930000,34914.400000,46516.150000
2020-09-10,-87209.198734,-83467.824761,-280600.923500,-154155.054497,-126038.238791,0.828009,0.707137,0.532993,0.329719,0.131326,22398.180000,26472.060000,64666.930000,34914.400000,46516.150000
